====================================================
LEVEL.CASINO SEO + PLATFORM UPDATES AUDIT
DATE: Mon Aug 10 06:14:24 CAT 2026
====================================================

=== ROUTES ===
worker/routes.js:31:    // LISTING PAGES
worker/routes.js:34:  if (path === "/en/news") return { type: "newsList" };
worker/routes.js:68:  // NEWS
worker/routes.js:69:  // /en/news/new-license
worker/routes.js:72:  const newsMatch =
worker/routes.js:73:    path.match(/^\/en\/news\/([^/]+)$/);
worker/routes.js:75:  if (newsMatch) {
worker/routes.js:77:      type: "news",
worker/routes.js:78:      slug: newsMatch[1]
worker/routes.js:98:  // CATEGORY
worker/routes.js:99:  // /en/category/crypto
worker/routes.js:102:  const categoryMatch =
worker/routes.js:103:    path.match(/^\/en\/category\/([^\/]+)$/);
worker/routes.js:105:  if (categoryMatch) {
worker/routes.js:107:      type: "category",
worker/routes.js:108:      slug: categoryMatch[1]
worker/routes.js:123:  // AFFILIATE LANDING PAGE
worker/routes.js:159:  if (path === "/en/dashboard/news") return { type: "dashboardNews" };
worker/routes.js:160:  if (path === "/en/dashboard/pages") return { type: "dashboardPages" };
worker/routes.js:163:  if (path === "/en/category") return { type: "categoryList" };
worker/routes.js:235:      return { type: "sitemap-page" };
worker/routes.js:246:  if (path === "/sitemap-news.xml" || path === "/en/sitemap-news.xml") {
worker/routes.js:247:      return { type: "sitemap-news" };
worker/routes.js:255:  if (path === "/sitemap-pages.xml" || path === "/en/sitemap-pages.xml") {
worker/routes.js:256:      return { type: "sitemap-pages" };
worker/routes.js:263:  // FALLBACK DYNAMIC PAGE ENGINE
worker/routes.js:271:  const dynamicPage =
worker/routes.js:274:  if (dynamicPage) {
worker/routes.js:277:      type: "page",
worker/routes.js:278:      slug: dynamicPage[1]
worker/controllers.js:6:import * as pages from "./database/pages.js";
worker/controllers.js:8:import * as news from "./database/news.js";
worker/controllers.js:124:  } else if (path === "newsList") {
worker/controllers.js:125:    crumbs.push({ label: "News", url: "/en/news" });
worker/controllers.js:126:  } else if (path === "news" && data.title) {
worker/controllers.js:127:    crumbs.push({ label: "News", url: "/en/news" });
worker/controllers.js:129:  } else if (path === "categoryList") {
worker/controllers.js:130:    crumbs.push({ label: "Categories", url: "/en/category" });
worker/controllers.js:131:  } else if (path === "category" && data.category) {
worker/controllers.js:132:    crumbs.push({ label: "Categories", url: "/en/category" });
worker/controllers.js:133:    crumbs.push({ label: data.category, url: null });
worker/controllers.js:141:  } else if (path === "page" && data.title) {
worker/controllers.js:163:  const allComponents = await renderer.renderAllComponents("homepage", "homepage");
worker/controllers.js:164:  const dynamicSeo = await renderer.loadDynamicSeo("homepage", "homepage");
